The ability to account for medium layering, internal heating, and phase change due to moisture freezing and thawing is verified against a commercial software GeoStudio. For the verification, the effects of convection (natural and forced) and longwave radiations are neglected. This is the only difference with the presented thermal formulation. Eleven days of measured shortwave radiation serve for the heat flux imposed at the surface. Presented hereafter is the worst case in terms of absolute difference in temperature levels between GeoStudio and the thermal formulation. This case is presented in the form of a table essentially consisting of four columns: the time (in days), the surface temperature calculated with GeoStudio (in degrees Celsius), the surface temperature calculated with the thermal formulation (in degrees Celsius), and for each time step the absolute difference of temperature levels between Geostudio and the thermal formulation. 

Time [days]	Surface temperature with GeoStudio [°C]	Surface temperature with Fortran [°C]	Absolute difference [°C]
0.000	-1.000	-1.000	0.000
0.003	-0.919	-0.905	0.014
0.007	-0.878	-0.869	0.009
0.010	-0.853	-0.845	0.008
0.014	-0.836	-0.828	0.008
0.017	-0.824	-0.816	0.008
0.021	-0.817	-0.808	0.008
0.024	-0.812	-0.803	0.009
0.028	-0.810	-0.800	0.009
0.031	-0.809	-0.800	0.009
0.035	-0.810	-0.801	0.009
0.038	-0.813	-0.805	0.008
0.042	-0.816	-0.809	0.007
0.045	-0.820	-0.814	0.007
0.049	-0.825	-0.817	0.008
0.052	-0.830	-0.820	0.009
0.056	-0.835	-0.824	0.011
0.059	-0.840	-0.828	0.012
0.063	-0.845	-0.832	0.014
0.066	-0.850	-0.836	0.014
0.069	-0.856	-0.841	0.015
0.073	-0.861	-0.846	0.015
0.076	-0.865	-0.851	0.014
0.080	-0.870	-0.856	0.013
0.083	-0.874	-0.862	0.012
0.087	-0.878	-0.867	0.011
0.090	-0.882	-0.871	0.011
0.094	-0.886	-0.875	0.011
0.097	-0.889	-0.878	0.011
0.101	-0.893	-0.881	0.011
0.104	-0.896	-0.884	0.011
0.108	-0.898	-0.887	0.011
0.111	-0.901	-0.890	0.011
0.115	-0.903	-0.892	0.011
0.118	-0.905	-0.895	0.011
0.122	-0.907	-0.897	0.010
0.125	-0.909	-0.900	0.010
0.128	-0.911	-0.902	0.009
0.132	-0.913	-0.904	0.009
0.135	-0.914	-0.906	0.009
0.139	-0.916	-0.907	0.008
0.142	-0.917	-0.909	0.008
0.146	-0.918	-0.910	0.008
0.149	-0.920	-0.912	0.008
0.153	-0.921	-0.913	0.008
0.156	-0.922	-0.914	0.008
0.160	-0.923	-0.916	0.007
0.163	-0.924	-0.917	0.007
0.167	-0.925	-0.918	0.007
0.170	-0.926	-0.919	0.007
0.174	-0.927	-0.920	0.007
0.177	-0.928	-0.921	0.007
0.181	-0.929	-0.922	0.007
0.184	-0.930	-0.923	0.007
0.188	-0.930	-0.924	0.007
0.191	-0.931	-0.925	0.006
0.194	-0.932	-0.926	0.006
0.198	-0.933	-0.926	0.006
0.201	-0.933	-0.927	0.006
0.205	-0.934	-0.928	0.006
0.208	-0.935	-0.929	0.006
0.212	-0.935	-0.929	0.006
0.215	-0.936	-0.930	0.006
0.219	-0.937	-0.931	0.006
0.222	-0.937	-0.931	0.006
0.226	-0.938	-0.931	0.006
0.229	-0.938	-0.932	0.006
0.233	-0.939	-0.932	0.007
0.236	-0.939	-0.933	0.007
0.240	-0.939	-0.933	0.007
0.243	-0.940	-0.933	0.007
0.247	-0.940	-0.933	0.006
0.250	-0.940	-0.934	0.006
0.253	-0.940	-0.933	0.006
0.257	-0.940	-0.933	0.007
0.260	-0.939	-0.932	0.007
0.264	-0.939	-0.932	0.007
0.267	-0.938	-0.931	0.007
0.271	-0.937	-0.930	0.008
0.274	-0.936	-0.928	0.008
0.278	-0.935	-0.927	0.008
0.281	-0.933	-0.925	0.008
0.285	-0.932	-0.924	0.008
0.288	-0.930	-0.922	0.008
0.292	-0.928	-0.921	0.007
0.295	-0.926	-0.918	0.008
0.299	-0.923	-0.915	0.008
0.302	-0.921	-0.911	0.009
0.306	-0.918	-0.907	0.010
0.309	-0.914	-0.903	0.011
0.313	-0.911	-0.899	0.012
0.316	-0.907	-0.894	0.013
0.319	-0.902	-0.889	0.013
0.323	-0.897	-0.883	0.014
0.326	-0.891	-0.878	0.014
0.330	-0.885	-0.872	0.013
0.333	-0.878	-0.866	0.013
0.337	-0.871	-0.858	0.012
0.340	-0.863	-0.850	0.013
0.344	-0.853	-0.840	0.013
0.347	-0.844	-0.830	0.014
0.351	-0.833	-0.819	0.014
0.354	-0.821	-0.807	0.014
0.358	-0.809	-0.795	0.014
0.361	-0.797	-0.782	0.014
0.365	-0.783	-0.769	0.014
0.368	-0.769	-0.755	0.014
0.372	-0.755	-0.741	0.014
0.375	-0.740	-0.726	0.013
0.378	-0.724	-0.711	0.013
0.382	-0.709	-0.696	0.013
0.385	-0.693	-0.680	0.013
0.389	-0.677	-0.664	0.013
0.392	-0.660	-0.647	0.013
0.396	-0.643	-0.630	0.013
0.399	-0.626	-0.612	0.014
0.403	-0.609	-0.595	0.014
0.406	-0.591	-0.577	0.014
0.410	-0.573	-0.558	0.014
0.413	-0.554	-0.539	0.014
0.417	-0.534	-0.520	0.014
0.420	-0.514	-0.499	0.015
0.424	-0.494	-0.476	0.018
0.427	-0.472	-0.451	0.021
0.431	-0.450	-0.425	0.025
0.434	-0.426	-0.398	0.028
0.438	-0.402	-0.370	0.031
0.441	-0.376	-0.341	0.034
0.444	-0.348	-0.312	0.036
0.448	-0.319	-0.281	0.038
0.451	-0.288	-0.250	0.038
0.455	-0.255	-0.218	0.037
0.458	-0.219	-0.185	0.034
0.462	-0.182	-0.147	0.034
0.465	-0.141	-0.104	0.037
0.469	-0.098	-0.058	0.040
0.472	-0.052	-0.009	0.043
0.476	-0.003	0.043	0.046
0.479	0.048	0.097	0.049
0.483	0.103	0.153	0.050
0.486	0.160	0.211	0.051
0.490	0.220	0.271	0.052
0.493	0.282	0.333	0.051
0.497	0.347	0.397	0.050
0.500	0.414	0.462	0.048
0.503	0.484	0.531	0.048
0.507	0.556	0.605	0.050
0.510	0.630	0.683	0.053
0.514	0.706	0.763	0.056
0.517	0.785	0.845	0.060
0.521	0.867	0.930	0.063
0.524	0.951	1.018	0.067
0.528	1.038	1.108	0.069
0.531	1.129	1.200	0.071
0.535	1.222	1.294	0.071
0.538	1.320	1.390	0.070
0.542	1.421	1.487	0.067
0.545	1.526	1.590	0.064
0.549	1.635	1.696	0.061
0.552	1.748	1.805	0.057
0.556	1.865	1.918	0.053
0.559	1.985	2.033	0.048
0.563	2.109	2.151	0.042
0.566	2.235	2.271	0.036
0.569	2.362	2.394	0.031
0.573	2.491	2.519	0.028
0.576	2.620	2.646	0.026
0.580	2.748	2.775	0.027
0.583	2.876	2.906	0.031
0.587	3.001	3.030	0.029
0.590	3.123	3.145	0.022
0.594	3.242	3.255	0.013
0.597	3.357	3.362	0.005
0.601	3.469	3.467	0.002
0.604	3.577	3.569	0.007
0.608	3.681	3.670	0.011
0.611	3.782	3.769	0.013
0.615	3.880	3.867	0.012
0.618	3.975	3.964	0.011
0.622	4.067	4.060	0.007
0.625	4.157	4.154	0.002
0.628	4.245	4.247	0.001
0.632	4.332	4.336	0.004
0.635	4.418	4.423	0.005
0.639	4.503	4.509	0.006
0.642	4.587	4.594	0.006
0.646	4.671	4.677	0.007
0.649	4.753	4.759	0.006
0.653	4.834	4.840	0.006
0.656	4.914	4.920	0.006
0.660	4.993	4.999	0.006
0.663	5.071	5.077	0.006
0.667	5.148	5.155	0.007
0.670	5.222	5.229	0.007
0.674	5.296	5.301	0.005
0.677	5.367	5.370	0.003
0.681	5.437	5.438	0.001
0.684	5.505	5.504	0.000
0.688	5.571	5.569	0.002
0.691	5.635	5.632	0.003
0.694	5.698	5.694	0.003
0.698	5.759	5.755	0.003
0.701	5.818	5.815	0.003
0.705	5.876	5.874	0.002
0.708	5.932	5.932	0.001
0.712	5.987	5.987	0.000
0.715	6.041	6.040	0.001
0.719	6.093	6.091	0.002
0.722	6.144	6.141	0.003
0.726	6.194	6.189	0.005
0.729	6.242	6.236	0.006
0.733	6.288	6.281	0.007
0.736	6.333	6.325	0.008
0.740	6.377	6.368	0.009
0.743	6.418	6.410	0.009
0.747	6.458	6.450	0.008
0.750	6.496	6.489	0.007
0.753	6.532	6.525	0.007
0.757	6.565	6.558	0.008
0.760	6.597	6.588	0.009
0.764	6.626	6.616	0.010
0.767	6.653	6.643	0.011
0.771	6.678	6.667	0.011
0.774	6.702	6.690	0.012
0.778	6.723	6.711	0.012
0.781	6.742	6.731	0.011
0.785	6.759	6.749	0.011
0.788	6.775	6.765	0.010
0.792	6.790	6.780	0.009
0.795	6.803	6.793	0.009
0.799	6.814	6.804	0.011
0.802	6.824	6.812	0.012
0.806	6.833	6.819	0.014
0.809	6.841	6.824	0.016
0.813	6.847	6.828	0.019
